program_id,gate_name,default_offset_weeks_before_launch,owner_role,buffer_weeks,description
NPI_IPH16,LTB Raw Material,52,GSSM,3,"Long-lead raw material last-time-buy commit (wafers; rare earth)"
NPI_IPH16,Tooling Kickoff,42,GSSM,3,"Hard tooling release to supplier"
NPI_IPH16,EVT,34,NPI Eng,2,"Engineering Validation Test build 300-800 units"
NPI_IPH16,DVT,22,NPI Eng,2,"Design Validation Test 1500-3000 units"
NPI_IPH16,PVT,12,NPI Eng,1,"Production Validation Test 5k-10k units"
NPI_IPH16,MP Ramp,6,Ops,1,"Mass production ramp to target wk rate"
NPI_IPH16,FCS,0,PM,0,"First customer ship"
NPI_MBA_M4,LTB Raw Material,48,GSSM,3,"Long-lead raw material commit"
NPI_MBA_M4,Tooling Kickoff,38,GSSM,3,"CNC chassis and PCBA tooling"
NPI_MBA_M4,EVT,30,NPI Eng,2,"Engineering Validation"
NPI_MBA_M4,DVT,20,NPI Eng,2,"Design Validation"
NPI_MBA_M4,PVT,10,NPI Eng,1,"Production Validation"
NPI_MBA_M4,MP Ramp,4,Ops,1,"Ramp to weekly rate"
NPI_MBA_M4,FCS,0,PM,0,"First customer ship"
